# 地名(世界)。key	名前	場所	よみ	絵文字	解説	緯度	経度	地図の目印(説明に出てくる有名な場所。空なら その地名そのもの)
malay	マレー半島	東南アジア	まれーはんとう	🌴	マレーシアとタイ南部がある細長い半島。先にシンガポールがある。	5.0	101.5	
koreanpeninsula	朝鮮半島	アジア	ちょうせんはんとう	🌊	韓国と北朝鮮がある半島。日本海と黄海にはさまれる。	38.0	127.5	
kamchatka	カムチャツカ半島	ロシア	かむちゃつかはんとう	🌋	ロシア極東の半島。火山が多く、サケの漁業がさかん。	56.0	159.0	
yucatan	ユカタン半島	メキシコ	ゆかたんはんとう	🛕	メキシコ南東部の半島。マヤ文明の遺跡チチェン・イッツァと、リゾートのカンクン。	19.5	-89.0	
florida	フロリダ半島	アメリカ	ふろりだはんとう	🍊	アメリカ南東部の半島。あたたかく、オレンジの栽培とリゾート、宇宙センター。	28.0	-82.0	
greenland	グリーンランド	デンマーク	ぐりーんらんど	🧊	世界最大の島。デンマーク領で、大部分が氷におおわれる。	72.0	-40.0	
newguinea	ニューギニア島	オセアニア	にゅーぎにあとう	🌴	世界で2番目に大きな島。西半分はインドネシア、東半分はパプアニューギニア。	-5.5	141.0	
borneo	ボルネオ島	東南アジア	ぼるねおとう	🦧	世界で3番目に大きな島。マレーシア・インドネシア・ブルネイの3か国がある。熱帯雨林とオランウータン。	1.0	114.0	
sumatra	スマトラ島	インドネシア	すまとらとう	🌋	インドネシア西部の大きな島。赤道が通り、地震が多い。	-0.5	102.0	
java	ジャワ島	インドネシア	じゃわとう	🌋	インドネシアの首都ジャカルタがある島。世界でいちばん人口の多い島。火山が多い。	-7.5	110.0	
hawaiiislands	ハワイ諸島	アメリカ	はわいしょとう	🌺	太平洋のまん中にある火山の島々。ホットスポットの上に並んでできた。	20.5	-157.0	
hornmisaki	ホーン岬	チリ	ほーんみさき	🌊	南アメリカ大陸の最南端。風と波が荒く、船乗りの難所だった。	-55.98	-67.27	
