# 宇宙。key	名前	分類	よみ	絵文字	解説	地図(sky|solar)	x	y	Wikipedia題名	はじめのレベル(1か空)
skyhelix	らせん星雲	星雲(みずがめ座)	らせんせいうん	👁️	みずがめ座にある、地球にいちばん近い惑星状星雲のひとつ。約650光年。写真では巨大な目のように見え、神の目とよばれる。	sky	22.49	-20.8	らせん星雲	
skyandromedagal	アンドロメダ銀河	銀河(アンドロメダ座)	あんどろめだぎんが	🌌	約250万光年はなれた、銀河系のとなりの大きな渦巻銀河。肉眼で見える いちばん遠い天体のひとつ。約40億年後に銀河系と衝突するといわれる。	sky	0.71	41.3	アンドロメダ銀河	1
skytriangulumgal	さんかく座銀河	銀河(さんかく座)	さんかくざぎんが	🌌	M33。約270万光年にある渦巻銀河で、銀河系・アンドロメダ銀河につぐ局部銀河群で3番目に大きい銀河。空が暗ければ肉眼で見える。	sky	1.56	30.7	さんかく座銀河	
skylmc	大マゼラン雲	銀河(かじき座)	だいまぜらんうん	🌌	銀河系のそばをまわる小さな銀河。約16万光年。南半球では雲のように肉眼で見える。1987年にここで起きた超新星のニュートリノを日本のカミオカンデがとらえた。	sky	5.39	-69.8	大マゼラン雲	
skysmc	小マゼラン雲	銀河(きょしちょう座)	しょうまぜらんうん	🌌	大マゼラン雲とならぶ、銀河系のそばの小さな銀河。約20万光年。マゼランの世界一周のときに記録されたので この名前がついた。	sky	0.88	-72.8	小マゼラン雲	
skywhirlpool	子持ち銀河	銀河(りょうけん座)	こもちぎんが	🌀	M51。大きな渦巻銀河に小さな銀河がくっついて見えるので子持ち銀河。渦巻の形が最初にはっきり分かった銀河。	sky	13.50	47.2	子持ち銀河	
skysombrero	ソンブレロ銀河	銀河(おとめ座)	そんぶれろぎんが	🎩	M104。横から見た円盤にちりの帯が走り、メキシコの帽子ソンブレロのように見える銀河。約3000万光年。	sky	12.67	-11.6	ソンブレロ銀河	
skym87	M87	銀河(おとめ座)	えむはちじゅうなな	🕳️	おとめ座銀河団の中心にある巨大なだ円銀河。2019年に人類ではじめて撮影されたブラックホールの影は、この銀河の中心のもの。	sky	12.51	12.4	M87 (天体)	
skyvirgocluster	おとめ座銀河団	銀河団(おとめ座)	おとめざぎんがだん	🌌	おとめ座からかみのけ座にかけて、約2000個の銀河が集まっている いちばん近い大きな銀河団。約5900万光年。銀河系もその引力を受けている。	sky	12.3	13.5	おとめ座銀河団	
skybigdipper	北斗七星	ことば	ほくとしちせい	🥄	おおぐま座の背中からしっぽにならぶ7つの星。ひしゃくの形で、先の2つの星の間を5倍のばすと北極星が見つかる。春の北の空に高い。	sky	12.0	56	北斗七星	1
skysummertriangle	夏の大三角	ことば	なつのだいさんかく	🔺	こと座のベガ、わし座のアルタイル、はくちょう座のデネブを結んだ大きな三角形。夏の夜空の目じるしで、まん中を天の川が流れる。	sky	19.7	30	夏の大三角	1
skywintertriangle	冬の大三角	ことば	ふゆのだいさんかく	🔺	オリオン座のベテルギウス、おおいぬ座のシリウス、こいぬ座のプロキオンを結んだ ほぼ正三角形。冬の夜空の目じるし。	sky	7.2	-3	冬の大三角	1
skyspringtriangle	春の大三角	ことば	はるのだいさんかく	🔺	うしかい座のアークトゥルス、おとめ座のスピカ、しし座のデネボラを結んだ三角形。北斗七星の柄からのびる春の大曲線とともに春の目じるし。	sky	13.2	5	春の大三角	
skywinterhexagon	冬のダイヤモンド	ことば	ふゆのだいやもんど	💎	シリウス、プロキオン、ポルックス、カペラ、アルデバラン、リゲルの6つの1等星を結んだ大きな六角形。冬の大六角形ともいう。	sky	6.2	12	冬のダイヤモンド	
skyautumnsquare	秋の四辺形	ことば	あきのしへんけい	⬜	ペガスス座の3つの星とアンドロメダ座の1つの星が作る大きな四角形。秋の夜空の目じるしで、ここからアンドロメダ銀河をさがせる。	sky	23.3	25	秋の四辺形	
skymilkyway	天の川	ことば	あまのがわ	🌌	夜空を横切る光の帯。わたしたちのいる銀河系を内側から見た姿で、無数の星の光が重なっている。夏に南の空でいちばん濃く見える。	sky	20.3	-5	天の川	1
skygalaxy	銀河系	ことば	ぎんがけい	🌌	太陽系がある、約2000億個の星の集まり。直径約10万光年の渦巻銀河で、太陽は中心から約2万6000光年のところをまわる。天の川銀河ともいう。	sky	15.8	-50	銀河系	1
skylightyear	光年	ことば	こうねん	📏	光が1年間に進む距離で、約9兆5000億km。宇宙の距離を表す単位。いちばん近い恒星まで約4.2光年、アンドロメダ銀河まで約250万光年。	sky	16.0	-65	光年	
skymagnitude	等級	ことば	とうきゅう	🔆	星の明るさを表す数字。数字が小さいほど明るく、1等星は6等星の100倍明るい。肉眼で見える限界は約6等星。	sky	9.5	40	等級 (天文)	
skystarcolor	星の色と温度	ことば	ほしのいろとおんど	🌡️	星の色は表面温度で決まる。青白い星が約1万度以上でいちばん熱く、白、黄色、オレンジ、赤の順に低くなる。太陽は約6000度の黄色。	sky	4.0	5	スペクトル分類	
skydiurnal	日周運動	ことば	にっしゅううんどう	🔄	地球の自転のせいで、太陽や星が1日に1回 東から西へ回って見えること。1時間に約15度動く。北の空の星は北極星を中心に反時計回り。	sky	3.5	80	日周運動	
skyannual	年周運動	ことば	ねんしゅううんどう	🔁	地球の公転のせいで、同じ時刻に見える星座が1年かけて西へ移っていくこと。1か月に約30度、1日に約1度ずつ動く。	sky	21.0	80	公転	
skyecliptic	黄道	ことば	こうどう	☀️	天球上で太陽が1年かけて通る道。この道にそって黄道12星座がならぶ。月や惑星も黄道の近くを動く。	sky	1.6	9	黄道	
skycelestialsphere	天球	ことば	てんきゅう	🔮	星がはりついていると考えた、地球を中心とする大きな仮想の球。星の位置を天球上の場所で表す。北極星の近くに天の北極がある。	sky	8.0	82	天球	
skyplanisphere	星座早見盤	ことば	せいざはやみばん	🧭	日付と時刻を合わせると、そのとき見える星座が分かる円形の道具。見たい方角を下にして頭の上にかざして使う。東と西が地図と逆なのは空を見上げるから。	sky	16.5	84	星座早見盤	1
skydoublestar	二重星	ことば	にじゅうせい	👯	望遠鏡で見ると2つにならんで見える星。本当に引きあってまわる連星と、たまたま同じ方向に見えるだけのものがある。アルビレオが有名。	sky	18.0	18	二重星	
skyvariable	変光星	ことば	へんこうせい	💫	明るさが変わる星。星そのものがふくらんだり縮んだりするミラ、2つの星がかくしあうアルゴルなどの種類がある。	sky	1.9	47	変光星	
cosbigbang	ビッグバン	ことば	びっぐばん	💥	約138億年前に宇宙が超高温・超高密度の小さな点から始まった大爆発。そこから宇宙は広がりつづけ、星や銀河が生まれた。	sky	23.6	-10	ビッグバン	
cosexpansion	宇宙の膨張	ことば	うちゅうのぼうちょう	🎈	宇宙がいまも広がりつづけていること。1929年にハッブルが、遠い銀河ほど速く遠ざかっていることから発見した。	sky	11.6	-42	ハッブル–ルメートルの法則	
coscmb	宇宙背景放射	ことば	うちゅうはいけいほうしゃ	📻	宇宙のあらゆる方向からとどく弱い電波。ビッグバンから約38万年後の光のなごりで、宇宙がビッグバンで始まった証拠になった。	sky	23.5	-58	宇宙マイクロ波背景放射	
cosdarkmatter	ダークマター	ことば	だーくまたー	🌑	光では見えないのに重力だけがある、正体不明の物質。銀河の回り方から存在が分かった。宇宙の物質の8割以上をしめる。暗黒物質。	sky	9.2	62	暗黒物質	
cosdarkenergy	ダークエネルギー	ことば	だーくえねるぎー	⚡	宇宙の膨張をどんどん速めている、正体不明のエネルギー。宇宙全体の約7割をしめるとされる。2011年のノーベル物理学賞の発見。	sky	3.6	-55	ダークエネルギー	
coscluster	銀河団	ことば	ぎんがだん	🌌	数百から数千個の銀河が、重力で集まってできた大きな集団。銀河系は局部銀河群という小さな集団に属し、おとめ座銀河団の外にある。	sky	12.0	30	銀河団	
cosblackhole	ブラックホール	ことば	ぶらっくほーる	🕳️	重力がとても強く、光さえも出てこられない天体。重い星が一生の終わりにつぶれてできる。銀河系の中心にも太陽の400万倍の質量のものがある。	sky	17.76	-19	ブラックホール	1
cosneutronstar	中性子星	ことば	ちゅうせいしせい	⚪	超新星爆発のあとに残る、ほとんど中性子でできた超高密度の星。直径約20kmしかないのに太陽より重く、角砂糖1個ぶんが10億トンにもなる。	sky	8.3	3	中性子星	
cospulsar	パルサー	ことば	ぱるさー	📡	高速で自転して、灯台のように規則正しく電波を出す中性子星。1967年に発見されたときは宇宙人からの信号かと思われた。	sky	22.5	5	パルサー	
cossupernova	超新星	ことば	ちょうしんせい	💥	重い星が一生の終わりに起こす大爆発。一時的に銀河全体と同じくらい明るく光る。鉄より重い元素の一部はここで作られて宇宙にまき散らされる。	sky	4.9	30	超新星	
cosredgiant	赤色巨星	ことば	せきしょくきょせい	🔴	年をとった星が大きくふくらんで赤くなった姿。太陽も約50億年後に赤色巨星になり、地球の近くまでふくらむと考えられている。	sky	15.5	-2	赤色巨星	
coswhitedwarf	白色矮星	ことば	はくしょくわいせい	⚪	太陽くらいの星が一生の終わりに外側のガスを放出し、あとに残った地球ほどの大きさの小さく熱い星。シリウスの伴星が有名。	sky	9.6	-10	白色矮星	
cosmainsequence	主系列星	ことば	しゅけいれつせい	⭐	中心で水素の核融合をして安定して光っている、星の一生でいちばん長い時期の星。太陽もいま主系列星で、寿命は約100億年。	sky	0.5	75	主系列星	
cosstar	恒星	ことば	こうせい	⭐	自分で光を出している星。太陽も恒星のひとつ。位置がほとんど変わらないので恒星という。惑星は恒星の光を反射して光っている。	sky	21.5	60	恒星	
cosstellarlife	星の一生	ことば	ほしのいっしょう	♻️	星雲から生まれ、主系列星として長く光り、赤色巨星になって、白色矮星か超新星爆発で終わる。重い星ほど短い一生で、中性子星やブラックホールを残す。	sky	7.5	65	恒星進化論	
cosplanetarynebula	惑星状星雲	ことば	わくせいじょうせいうん	💍	太陽くらいの星が一生の終わりに外側のガスをふき出して光っている天体。望遠鏡で惑星のようにまるく見えたのでこの名前。環状星雲が代表。	sky	21.0	-50	惑星状星雲	
cosexoplanet	系外惑星	ことば	けいがいわくせい	🪐	太陽以外の恒星をまわる惑星。1995年に太陽に似た星ではじめて見つかり、いまでは5000個以上。2019年に発見者がノーベル物理学賞を受けた。	sky	19.3	50	太陽系外惑星	
coshabitable	ハビタブルゾーン	ことば	はびたぶるぞーん	🌱	恒星のまわりで、惑星の表面に液体の水がありえる ちょうどよい距離の範囲。生命がいるかもしれない惑星をさがす目安。地球はこの中にある。	sky	10.8	-62	ハビタブルゾーン	
cosbinary	連星	ことば	れんせい	👯	2つの星がおたがいの重力で引きあい、まわりあっているもの。じつは恒星の多くが連星。シリウスもアルファ・ケンタウリも連星。	sky	16.8	52	連星	
cosquasar	クエーサー	ことば	くえーさー	💡	とても遠くにあるのに、銀河全体の何百倍も明るく輝く天体。銀河の中心の巨大ブラックホールにガスが落ちこんで光っている。	sky	1.0	-20	クエーサー	
cosgravwave	重力波	ことば	じゅうりょくは	〰️	重い天体がぶつかったときなどに、空間のゆがみが波のように伝わる現象。アインシュタインが予言し、2015年にはじめて観測された。	sky	3.1	-12	重力波 (相対論)	
cosrelativity	相対性理論	ことば	そうたいせいりろん	🧠	アインシュタインが作った、時間と空間と重力についての理論。速く動くと時間がゆっくり進む。GPSの時計もこの理論で補正している。	sky	19.8	-50	相対性理論	
cosgalaxyword	銀河	ことば	ぎんが	🌌	数億から数千億個の星が重力で集まった大きな集団。渦巻銀河、だ円銀河、不規則銀河などの形がある。宇宙には数千億個以上あるといわれる。	sky	11.3	-27	銀河	
cosstarcluster	星団	ことば	せいだん	✨	星がたくさん集まっているもの。若い星がゆるく集まる散開星団(すばる)と、古い星がボールのように集まる球状星団(M13)がある。	sky	23.0	62	星団	
cosnebulaword	星雲	ことば	せいうん	☁️	宇宙にただようガスやちりの雲。星が生まれる散光星雲、光をさえぎる暗黒星雲、星の最期にできる惑星状星雲や超新星残骸がある。	sky	5.0	-45	星雲	
cosuniverse	宇宙	ことば	うちゅう	🌌	すべての空間・時間・物質をふくむ全体。約138億年前のビッグバンで始まり、いまも広がりつづけている。地上約100kmより上を宇宙空間とよぶ。	sky	14.0	72	宇宙	1
cosastronomy	天文学	ことば	てんもんがく	🔭	星や惑星、銀河など宇宙のすべてを研究する学問。いちばん古い学問のひとつで、暦や航海に役立ってきた。日本では国立天文台が中心。	sky	9.8	-47	天文学	
cosobservatory	天文台	ことば	てんもんだい	🏛️	望遠鏡をそなえて星を観測する施設。空気がすんで晴れの多い高い山の上に作られる。日本の国立天文台の本部は東京の三鷹にある。	sky	15.3	50	天文台	
cossubaru	すばる望遠鏡	ことば	すばるぼうえんきょう	🔭	ハワイのマウナケア山の頂上にある、日本の国立天文台の巨大な望遠鏡。鏡の直径は8.2m。遠い宇宙の銀河や系外惑星を観測している。	sky	21.5	-72	すばる望遠鏡	
costelescope	望遠鏡	ことば	ぼうえんきょう	🔭	遠くのものを大きく見る道具。レンズを使う屈折望遠鏡と鏡を使う反射望遠鏡がある。1609年にガリレオが夜空に向けて月や木星を観測した。	sky	8.5	-72	望遠鏡	1
cosradiotelescope	電波望遠鏡	ことば	でんぱぼうえんきょう	📡	天体が出す電波をとらえる、大きなお皿の形のアンテナ。目に見えない宇宙のようすが分かる。世界中のものをつないでブラックホールの影を撮影した。	sky	2.5	-75	電波望遠鏡	
cosexolife	地球外生命	ことば	ちきゅうがいせいめい	👽	地球以外の天体にいるかもしれない生き物。火星やエウロパ、エンケラドゥス、系外惑星で水や生命の痕跡がさがされている。まだ見つかっていない。	sky	17.5	-58	地球外生命	
cossgra	いて座Aスター	ブラックホール(いて座)	いてざえーすたー	🕳️	銀河系の中心にある、太陽の約400万倍の質量をもつ巨大ブラックホール。2022年に電波望遠鏡でその影が撮影された。	sky	17.76	-29.0	いて座A*	
solplanet	惑星	ことば	わくせい	🪐	太陽のような恒星のまわりを回る、じゅうぶん大きくて丸い天体で、通り道のまわりのほかの天体を はらいのけたもの。太陽系には水星から海王星まで8つある。	solar	0.63	0.25	惑星	
soldwarf	準惑星	ことば	じゅんわくせい	⚪	太陽のまわりを回り 丸い形をしているが、通り道のまわりに ほかの天体が残っている天体。2006年に 冥王星が 惑星から このなかまに 移された。	solar	0.87	0.25	準惑星	
solmoons	衛星	ことば	えいせい	🌙	惑星などのまわりを回る天体。地球の衛星は月ひとつだけだが、木星や土星には それぞれ90個以上の衛星が見つかっている。	solar	0.53	-0.3	衛星	
solasteroid	小惑星	ことば	しょうわくせい	🪨	太陽のまわりを回る、惑星よりずっと小さい岩などの天体。多くは火星と木星のあいだの小惑星帯にある。はやぶさが訪れたイトカワも そのひとつ。	solar	0.39	0.15	小惑星	
solrings	土星の環	ことば	どせいのわ	💍	土星のまわりを取りまく平たい環。ほとんどが氷のつぶでできている。はばは地球の直径の何倍もあるのに、厚さは ふつう1kmもない。	solar	0.59	-0.15	土星の環	
solredspot	大赤斑	ことば	だいせきはん	🌀	木星の表面にある、赤っぽい大きなうずまきの嵐。地球がすっぽり入るほどの大きさで、150年以上前から ずっと観測されている。	solar	0.47	0.15	大赤斑	
solmorning	明けの明星	ことば	あけのみょうじょう	🌅	明け方の東の空に 明るくかがやく金星のこと。太陽と月の次に明るく見える天体で、日の出の前の しばらくのあいだだけ見える。	solar	0.15	-0.25	明けの明星	
solevening	宵の明星	ことば	よいのみょうじょう	🌆	夕方の西の空に 明るくかがやく金星のこと。金星は地球より内側を回るので、真夜中には見えず、夕方か明け方にだけ見える。	solar	0.17	0.25	宵の明星	
cosprotostar	原始星	ことば	げんしせい	🥚	ガスやちりの雲がちぢんで生まれたばかりの、星のたまご。まだ中心で核融合が始まっていない。オリオン大星雲などで たくさん見つかっている。	sky	5.8	-9	原始星	
cosredshift	赤方偏移	ことば	せきほうへんい	🔴	遠ざかる天体の光が、赤い色(波長の長いほう)へずれて見えること。遠い銀河ほど大きくずれることから、宇宙が膨張しているとわかった。	sky	13.0	20	赤方偏移	
coslensing	重力レンズ	ことば	じゅうりょくれんず	🔍	重い銀河などの重力で光の通り道が曲がり、うしろの天体がゆがんだり いくつにも見えたりすること。アインシュタインの相対性理論で予言された。	sky	16.6	66	重力レンズ	
