# からだ。key	名前	分類	よみ	絵文字	解説	地図(front|head|cell)	x	y	Wikipedia題名	はじめのレベル(1か空)
celsegregation	分離の法則	遺伝	ぶんりのほうそく	🌱	対になった遺伝子が、生殖細胞をつくるときに分かれて別々に入るという法則。メンデルが見つけた遺伝の基本。	cell	0.76	0.94	メンデルの法則	
celbloodtype	血液型	遺伝	けつえきがた	🩸	赤血球の表面の目じるしで分けた型。ABO式はA・B・O・ABの4つで、親から遺伝子を1つずつ受けついで決まる。	cell	0.60	0.94	ABO式血液型	1
celatp	ATP	細胞	えーてぃーぴー	🔋	細胞が使うエネルギーの通貨。ミトコンドリアでつくられ、分解されるときにエネルギーを出して筋肉などを動かす。	cell	0.24	0.24	アデノシン三リン酸	
celrespiration	細胞呼吸	細胞	さいぼうこきゅう	🔋	細胞が酸素を使ってブドウ糖を分解し、ATPをつくること。二酸化炭素と水が出る。内呼吸ともいう。	cell	0.36	0.22	細胞呼吸	
celenzyme	酵素	細胞	こうそ	🔬	体の中の化学反応を速めるタンパク質。決まった相手だけに働き、体温くらいでいちばんよく働く。消化酵素もその一つ。	cell	0.46	0.30	酵素	
celaminoacid	アミノ酸	細胞	あみのさん	🔬	タンパク質をつくる部品。20種類あり、つながる順番でちがうタンパク質になる。うまみ成分のグルタミン酸もその一つ。	cell	0.56	0.24	アミノ酸	
celcatalyst	触媒	細胞	しょくばい	🔬	自分は変わらずに化学反応を速める物質。酵素は生き物の体の中の触媒で、過酸化水素を分解するカタラーゼが有名。	cell	0.44	0.38	触媒	
celips	iPS細胞	細胞	あいぴーえすさいぼう	🧫	皮ふなどの細胞に遺伝子を入れて、どんな細胞にもなれるようにした細胞。2006年に山中伸弥が作り、ノーベル賞を受けた。	cell	0.30	0.94	人工多能性幹細胞	
celes	ES細胞	細胞	いーえすさいぼう	🧫	受精卵が少し育った胚からつくる、どんな細胞にもなれる細胞。再生医療に期待されるが、受精卵を使う問題がある。	cell	0.40	0.94	胚性幹細胞	
celstemcell	幹細胞	細胞	かんさいぼう	🧫	分裂して自分と同じ細胞をつくりながら、いろいろな細胞に変われる細胞。骨ずいの幹細胞は血液の細胞をつくる。	cell	0.36	0.86	幹細胞	
celunicellular	単細胞生物	細胞	たんさいぼうせいぶつ	🦠	体が1つの細胞だけでできている生き物。ゾウリムシ・アメーバ・ミドリムシなど。1つの細胞で食べ、動き、ふえる。	cell	0.14	0.10	単細胞生物	
celmulticellular	多細胞生物	細胞	たさいぼうせいぶつ	🔬	たくさんの細胞でできている生き物。人も植物もこれで、細胞が組織・器官をつくり、役割を分担している。	cell	0.28	0.08	多細胞生物	
celtissue	組織	細胞	そしき	🔬	同じ形と働きをもつ細胞の集まり。筋肉の組織、神経の組織など。組織が集まって器官になる。	cell	0.64	0.06	組織 (生物学)	
celorgan	器官	細胞	きかん	🫀	いくつかの組織が集まって決まった働きをするもの。心臓・胃・目など。器官が集まって体(個体)になる。	cell	0.76	0.06	器官	
celneuron	神経細胞	細胞	しんけいさいぼう	⚡	ニューロンともいう、電気の信号を伝える細胞。長い突起をのばし、シナプスで次の細胞につながる。脳には約1000億個。	cell	0.72	0.44	神経細胞	
celdiffusion	拡散	細胞	かくさん	🔬	物質がこい方からうすい方へ自然に広がること。肺胞での酸素の受けわたしや、細胞への栄養の出入りはこれで起こる。	cell	0.78	0.36	拡散	
celosmosis	浸透	細胞	しんとう	💧	水が膜を通って、こい液の方へ移動すること。野菜に塩をふると水が出るのも、赤血球が水でふくらむのも浸透。	cell	0.78	0.54	浸透	
celmutation	突然変異	遺伝	とつぜんへんい	🧬	DNAの塩基の並びが変わること。紫外線や放射線で起こり、多くは害がないが、病気の原因や進化のもとにもなる。	cell	0.64	0.86	突然変異	
celgenome	ゲノム	遺伝	げのむ	🧬	生き物が持つ遺伝情報のすべて。人のゲノムは約30億の塩基対で、2003年に全部が読みとられた。	cell	0.50	0.74	ゲノム	
